11;Karakteristike polling-a?;Softver povremeno provjerava, gubljenje puno CPU ciklusa, pokre?e ga softver, javlja se periodi?no.
11;Karakteristike prekida (Interrupt)?;CPU poduzima radnje samo ako dogodi se doga?aj, ne troši puno CPU ciklusa, pokre?e ga hardware ili software, javlja se u bilo koje vrijeme.
11;Što je i ?emu služi NVIC?;Nested Vectored Interrupt Controller, koordinira više izvora prekida, omogu?uje ili onemogu?uje odre?eni prekid.
11;Kako se omogu?uje prekid (interrupt)?;"1. Isprogramirajte periferni kontrolni registar da mu dopustimo generiranje prekida
 2. Isprogramirajte NVIC da mu dopustimo prihva?anje prekida"
11;Korištenje LR registra prilikom obrade prekida; LR sprema kod koji opisuje ho?e li unstacking biti MSP ili PSP ovisno o tome je li se odvijala aritmeti?ka operacija prije prekida (ako nije onda MSP 09/0D). Tako?er ako je potrebno unutar ISR-a i?i u drugu subrutinu potrebno je spremiti LR.
11;Auto-(un)stacking prilikom obrade prekida.;Unstaccking se doga?a automatski prilikom izlaska iz ISR-a te se brišu podatci u registrima koji su bili poslani na stack, a ostaju podatci u drugim registrima.
11;Tablice prekidnih vektora i negativni brojevi prekida.;255 ukupno, System Exceptions (-16 do -1) – ARM defined, Peripheral Interrupts (0 do 239) – chip vendor
11;Maskiranje prekida.;"BASEPRI: Onemogu?uje sve prekide specifi?nog levela prioriteta ili višeg levela prioriteta
PRIMASK: Koristi se za onemogu?ivanje svih iznimaka
FAULTMASK: Kao PRIMASK ali mjenja trenutni level prioriteta na -1"
11;Omogu?avanje i prioriteti prekida.;"ISER registers for enabling, ICER registers for disabling ISER0, ISER1...
Manji broj zna?i ve?i prioritet prekida.
Prioritet prekida je konfiguriran od strane Interrupt Priority Register (IP). Svaki prioritet se sastoji od dva polja, uklju?uju?i preempt prioritetni broj i podprioritetni broj."
11;SysTick - na?in rada i primjena.;"Koristimo ga za postavljanje time delaya ili za polling, u interval uklju?eno je izvršavanje ISR-a i maina.
SysTick Interrupt Time Period = (SysTick_LOAD + 1) × Clock Period = 7 × Clock Period"
11;Kako se konfigurira SysTick?;"1. Postavite TRENUTNU vrijednost na nulu (ako je potrebno)
 2. Postavite READ vrijednost 
3. Postavite izvor takta, omogu?ite prekid i mjera? vremena 
4. Postavite prioritet prekida 
5. Napravi prekidom handler (ms_counter++) 
6. Napravi delay funkciju koja ?eka potrebno vrijeme"
